Instance_ID,Method,Time,Size,Fold
48,Majoritary (SMT),0.6270368099212646,12,1
48,Sufficient (SAT),0.24096250534057617,10,1
48,Sufficient (SMT),0.828000545501709,4,1
67,Direct,0.0010333061218261719,54,1
67,Majoritary (SAT),0.022998332977294922,7,1
67,Majoritary (SMT),0.7109668254852295,12,1
67,Sufficient (SAT),0.24500131607055664,10,1
67,Sufficient (SMT),0.8760364055633545,3,1
72,Direct,0.0009999275207519531,54,1
72,Majoritary (SAT),0.027964115142822266,6,1
72,Majoritary (SMT),0.8219995498657227,12,1
72,Sufficient (SAT),0.330035924911499,13,1
72,Sufficient (SMT),0.8619625568389893,4,1
85,Direct,0.0009999275207519531,54,1
85,Majoritary (SAT),0.021032094955444336,6,1
85,Majoritary (SMT),0.7379727363586426,13,1
85,Sufficient (SAT),0.2960326671600342,13,1
85,Sufficient (SMT),0.7570009231567383,4,1
95,Direct,0.0009951591491699219,59,1
95,Majoritary (SAT),0.018967866897583008,7,1
95,Majoritary (SMT),0.644038200378418,13,1
95,Sufficient (SAT),0.23296117782592773,10,1
95,Sufficient (SMT),0.9620382785797119,4,1
97,Direct,0.0009632110595703125,61,1
97,Majoritary (SAT),0.029999732971191406,12,1
97,Majoritary (SMT),0.703035831451416,13,1
97,Sufficient (SAT),0.25896477699279785,8,1
97,Sufficient (SMT),0.8320345878601074,7,1
112,Direct,0.0009629726409912109,40,1
112,Majoritary (SAT),0.02499985694885254,7,1
112,Majoritary (SMT),0.6570017337799072,9,1
112,Sufficient (SAT),0.23803448677062988,8,1
112,Sufficient (SMT),0.7930021286010742,3,1
115,Direct,0.0009996891021728516,56,1
115,Majoritary (SAT),0.026967287063598633,10,1
115,Majoritary (SMT),0.6590328216552734,12,1
115,Sufficient (SAT),0.29599642753601074,13,1
115,Sufficient (SMT),0.922966718673706,3,1
119,Direct,0.001013040542602539,56,1
119,Majoritary (SAT),0.022021055221557617,9,1
119,Majoritary (SMT),0.6390049457550049,12,1
119,Sufficient (SAT),0.27696657180786133,9,1
119,Sufficient (SMT),0.8789942264556885,4,1
123,Direct,0.00099945068359375,49,1
123,Majoritary (SAT),0.022029876708984375,7,1
123,Majoritary (SMT),0.680971622467041,12,1
123,Sufficient (SAT),0.299999475479126,13,1
123,Sufficient (SMT),0.7855207920074463,3,1
128,Direct,0.0,50,1
128,Majoritary (SAT),0.014035701751708984,4,1
128,Majoritary (SMT),0.6569995880126953,13,1
128,Sufficient (SAT),0.3009655475616455,13,1
128,Sufficient (SMT),0.9980387687683105,4,1
139,Direct,0.0,47,1
139,Majoritary (SAT),0.0290377140045166,9,1
139,Majoritary (SMT),0.6690030097961426,11,1
139,Sufficient (SAT),0.24799656867980957,13,1
139,Sufficient (SMT),0.8049654960632324,5,1
140,Direct,0.001001119613647461,46,1
140,Majoritary (SAT),0.027032136917114258,9,1
140,Majoritary (SMT),0.6889674663543701,12,1
140,Sufficient (SAT),0.20999550819396973,12,1
140,Sufficient (SMT),0.8600008487701416,4,1
144,Direct,0.0,51,1
144,Majoritary (SAT),0.034001827239990234,9,1
144,Majoritary (SMT),0.6260147094726562,11,1
144,Sufficient (SAT),0.26401805877685547,9,1
144,Sufficient (SMT),0.7219650745391846,5,1
147,Direct,0.0010385513305664062,59,1
147,Majoritary (SAT),0.03096294403076172,12,1
147,Majoritary (SMT),0.766000509262085,13,1
147,Sufficient (SAT),0.25003623962402344,10,1
147,Sufficient (SMT),0.8449983596801758,5,1
151,Direct,0.0010342597961425781,48,1
151,Majoritary (SAT),0.03099966049194336,11,1
151,Majoritary (SMT),0.6220009326934814,12,1
151,Sufficient (SAT),0.21096587181091309,10,1
151,Sufficient (SMT),0.8290350437164307,3,1
172,Direct,0.0,45,1
172,Majoritary (SAT),0.023000240325927734,8,1
172,Majoritary (SMT),0.6659996509552002,11,1
172,Sufficient (SAT),0.2180023193359375,7,1
172,Sufficient (SMT),0.8560347557067871,4,1
175,Direct,0.0,38,1
175,Majoritary (SAT),0.02003645896911621,7,1
175,Majoritary (SMT),0.6439974308013916,9,1
175,Sufficient (SAT),0.2389669418334961,9,1
175,Sufficient (SMT),0.797999382019043,6,1
194,Direct,0.0010273456573486328,56,1
194,Majoritary (SAT),0.03701424598693848,9,1
194,Majoritary (SMT),0.6319591999053955,11,1
194,Sufficient (SAT),0.2800452709197998,7,1
194,Sufficient (SMT),0.7429904937744141,8,1
196,Direct,0.000997781753540039,54,1
196,Majoritary (SAT),0.024008750915527344,7,1
196,Majoritary (SMT),0.7139556407928467,12,1
196,Sufficient (SAT),0.3220381736755371,13,1
196,Sufficient (SMT),1.1954631805419922,5,1
199,Direct,0.0009720325469970703,52,1
199,Majoritary (SAT),0.041036367416381836,9,1
199,Majoritary (SMT),0.9219605922698975,12,1
199,Sufficient (SAT),0.3970038890838623,8,1
199,Sufficient (SMT),1.0530004501342773,3,1
20,Direct,0.001035451889038086,51,2
20,Majoritary (SAT),0.06496334075927734,8,2
20,Majoritary (SMT),0.9520065784454346,12,2
20,Sufficient (SAT),0.2780299186706543,13,2
20,Sufficient (SMT),0.8490002155303955,3,2
23,Direct,0.0019915103912353516,72,2
23,Majoritary (SAT),0.023997783660888672,8,2
23,Majoritary (SMT),0.772040605545044,13,2
23,Sufficient (SAT),0.23999738693237305,9,2
23,Sufficient (SMT),0.7910001277923584,8,2
30,Direct,0.0009996891021728516,51,2
